Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2021-01-26 08:45:52,false,"New York Running","3.01","321","00:28:11","162","175","3.2","172","196","9:23","8:19","50","55","1.00","0.0","0.0","0.0","0.0","0.0","28:11","0:00","0.0","0:00","No","00:02.28","4","0.0"
Running,2021-01-23 13:36:10,false,"New York Running","4.01","391","00:36:16","158","171","3.2","174","180","9:03","8:16","43","66","1.02","0.0","0.0","0.0","0.0","0.0","36:16","0:00","0.0","0:00","No","00:02.29","5","0.0"
Running,2021-01-22 08:02:47,false,"New York Running","3.00","312","00:27:32","160","175","3.2","172","178","9:10","8:11","40","43","1.02","0.0","0.0","0.0","0.0","0.0","27:32","0:00","0.0","0:00","No","00:02.24","4","0.0"
Running,2021-01-20 08:07:45,false,"New York Running","3.50","349","00:31:18","160","177","3.2","175","181","8:56","8:09","50","54","1.03","0.0","0.0","0.0","0.0","0.0","31:18","0:00","0.0","0:00","No","04:23.35","4","0.0"
Running,2021-01-18 12:21:10,false,"New York Running","3.01","311","00:26:46","164","180","3.3","174","179","8:54","8:14","56","59","1.04","0.0","0.0","0.0","0.0","0.0","26:46","0:00","0.0","0:00","No","00:04.73","4","0.0"
Running,2021-01-17 12:31:06,false,"New York Running","2.01","178","00:18:20","144","152","2.3","172","177","9:08","8:29","22","33","1.03","0.0","0.0","0.0","0.0","0.0","18:20","0:00","0.0","0:00","No","00:02.47","3","0.0"
Running,2021-01-15 08:05:15,false,"New York Running","4.00","350","00:36:37","148","160","2.9","172","179","9:09","8:20","49","55","1.03","0.0","0.0","0.0","0.0","0.0","36:37","0:00","0.0","0:00","No","00:03.49","5","0.0"
Running,2021-01-12 08:18:40,false,"New York Running","3.01","284","00:28:03","154","172","3.0","172","183","9:20","7:59","49","54","1.00","0.0","0.0","0.0","0.0","0.0","28:03","0:00","0.0","0:00","No","00:02.69","4","0.0"
Running,2021-01-10 10:48:23,false,"New York Running","6.00","618","00:55:33","167","186","4.1","172","184","9:15","8:23","406","285","1.01","0.0","0.0","0.0","0.0","0.0","55:33","0:00","0.0","0:00","No","00:02.58","7","0.0"
Running,2021-01-08 08:11:56,false,"Cobb County Running","3.05","319","00:29:45","159","169","3.2","171","176","9:46","9:13","35","35","0.97","0.0","0.0","0.0","0.0","0.0","29:45","0:00","0.0","0:00","No","00:26.90","4","0.0"
Running,2021-01-05 10:19:03,false,"Cobb County Running","4.03","404","00:36:33","165","188","3.6","174","180","9:05","8:13","78","77","1.02","0.0","0.0","0.0","0.0","0.0","36:33","0:00","0.0","0:00","No","00:12.83","5","0.0"
Running,2021-01-03 13:19:34,false,"Cobb County Running","5.00","518","00:47:23","165","185","4.0","171","177","9:28","8:26","49","42","0.99","0.0","0.0","0.0","0.0","0.0","47:23","0:00","0.0","0:00","No","00:02.46","6","0.0"
